COMPANY CODE,BISNIS AREA,AFD,LONGITUDE,LATITUDE,DATE,TIME,WX,TEMPERATURE,WIND SPEED,WIND DIRECTION
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,16/1/2024,8:00 AM,berawan,24,7,TL
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,16/1/2024,11:00 AM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,16/1/2024,2:00 PM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,16/1/2024,5:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,16/1/2024,8:00 PM,berawan,29,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,16/1/2024,11:00 PM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,2:00 AM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,5:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,8:00 AM,berawan,24,8,U
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,11:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,2:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,5:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,8:00 PM,berawan,29,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,17/1/2024,11:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,2:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,5:00 AM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,8:00 AM,cerah berawan,23,10,U
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,11:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,2:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,5:00 PM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,8:00 PM,cerah berawan,31,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,18/1/2024,11:00 PM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,2:00 AM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,5:00 AM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,8:00 AM,berawan,24,8,TG
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,11:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,2:00 PM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,5:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,8:00 PM,berawan,29,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,19/1/2024,11:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,2:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,5:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,8:00 AM,hujan ringan,24,6,S
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,11:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,2:00 PM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,5:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,8:00 PM,berawan,29,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,20/1/2024,11:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,2:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,5:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,8:00 AM,berawan,24,8,T
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,11:00 AM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,2:00 PM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,5:00 PM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,8:00 PM,berawan,29,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,21/1/2024,11:00 PM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,2:00 AM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,5:00 AM,berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,8:00 AM,cerah berawan,24,8,U
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,11:00 AM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,2:00 PM,cerah berawan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,5:00 PM,hujan ringan,0,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,8:00 PM,berawan,31,0,0
BMO2,7WEST-BMO2,7WEST-BMO2,117.343,1.977,22/1/2024,11:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,16/1/2024,8:00 AM,berawan,24,7,TL
BMO2,E-BMO2,E-BMO2,117.388,1.995,16/1/2024,11:00 AM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,16/1/2024,2:00 PM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,16/1/2024,5:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,16/1/2024,8:00 PM,berawan,29,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,16/1/2024,11:00 PM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,2:00 AM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,5:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,8:00 AM,berawan,24,8,U
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,11:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,2:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,5:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,8:00 PM,berawan,29,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,17/1/2024,11:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,2:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,5:00 AM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,8:00 AM,cerah berawan,23,10,U
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,11:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,2:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,5:00 PM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,8:00 PM,cerah berawan,31,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,18/1/2024,11:00 PM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,2:00 AM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,5:00 AM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,8:00 AM,berawan,24,8,TG
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,11:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,2:00 PM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,5:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,8:00 PM,berawan,29,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,19/1/2024,11:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,2:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,5:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,8:00 AM,hujan ringan,24,6,S
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,11:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,2:00 PM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,5:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,8:00 PM,berawan,29,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,20/1/2024,11:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,2:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,5:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,8:00 AM,berawan,24,8,T
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,11:00 AM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,2:00 PM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,5:00 PM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,8:00 PM,berawan,29,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,21/1/2024,11:00 PM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,2:00 AM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,5:00 AM,berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,8:00 AM,cerah berawan,24,8,U
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,11:00 AM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,2:00 PM,cerah berawan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,5:00 PM,hujan ringan,0,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,8:00 PM,berawan,31,0,0
BMO2,E-BMO2,E-BMO2,117.388,1.995,22/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,16/1/2024,8:00 AM,berawan,25,6,U
SMO,B1-SMO,B1-SMO,117.448,2.179,16/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,16/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,16/1/2024,5:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,16/1/2024,8:00 PM,berawan,29,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,16/1/2024,11:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,2:00 AM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,8:00 AM,berawan,24,9,U
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,2:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,8:00 PM,berawan,29,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,17/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,8:00 AM,cerah berawan,24,9,U
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,2:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,5:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,8:00 PM,berawan,31,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,18/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,2:00 AM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,8:00 AM,berawan,25,8,T
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,8:00 PM,berawan,29,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,19/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,8:00 AM,berawan,25,5,TG
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,11:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,8:00 PM,berawan,28,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,20/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,8:00 AM,berawan,24,9,T
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,2:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,5:00 PM,hujan sedang,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,8:00 PM,hujan ringan,29,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,21/1/2024,11:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,2:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,5:00 AM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,8:00 AM,cerah berawan,24,9,B
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,11:00 AM,cerah berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,2:00 PM,cerah berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,5:00 PM,berawan,0,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,8:00 PM,berawan,32,0,0
SMO,B1-SMO,B1-SMO,117.448,2.179,22/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,8:00 AM,berawan,25,8,TL
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,5:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,8:00 PM,berawan,29,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,16/1/2024,11:00 PM,hujan sedang,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,2:00 AM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,8:00 AM,berawan,24,10,U
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,11:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,2:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,8:00 PM,berawan,29,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,17/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,2:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,18/1/2024,5:00 AM,berawan,0,0,0
